查看内核版本号（仅版本号）,<b>答案:</b><br>• <code>uname -r</code><br><br><b>解释:</b><br>uname -r 只输出内核版本，-a 输出全部信息,杭州培训::凝思::系统信息
查看主机名、内核版本、硬件架构等完整信息,<b>答案:</b><br>• <code>uname -a</code><br><br><b>解释:</b><br>uname -a 是 --all 的缩写,杭州培训::凝思::系统信息
查看系统版本（如 LinxOS 6.0.99）的文件路径,<b>答案:</b><br>• <code>/etc/issue</code><br><br><b>解释:</b><br>凝思系统版本号存在 /etc/issue 中,杭州培训::凝思::系统信息
查看系统序列号信息的文件路径,<b>答案:</b><br>• <code>/proc/cmdline</code><br><br><b>解释:</b><br>/proc/cmdline 包含启动参数和序列号,杭州培训::凝思::系统信息
查看系统当前时间,<b>答案:</b><br>• <code>date</code><br><br><b>解释:</b><br>直接输入 date 显示当前时间,杭州培训::凝思::系统信息
将系统时间设置为 2026/12/28 13:00:00,"<b>答案:</b><br>• <code>date -s ""2026/12/28 13:00:00""</code><br>• <code>date -s '2026/12/28 13:00:00'</code><br><br><b>解释:</b><br>date -s 后接引号括起的时间字符串",杭州培训::凝思::系统信息
立即关机（shutdown 方式）,<b>答案:</b><br>• <code>shutdown -h now</code><br><br><b>解释:</b><br>-h 表示 halt，now 表示立即执行,杭州培训::凝思::系统信息
立即关机（一个单词命令）,<b>答案:</b><br>• <code>poweroff</code><br>• <code>halt</code><br>• <code>init 0</code><br><br><b>解释:</b><br>poweroff / halt / init 0 均可关机,杭州培训::凝思::系统信息
立即重启（reboot 以外的方式）,<b>答案:</b><br>• <code>shutdown -r now</code><br>• <code>init 6</code><br><br><b>解释:</b><br>shutdown -r now 或 init 6,杭州培训::凝思::系统信息
立即重启（最短命令）,<b>答案:</b><br>• <code>reboot</code><br><br><b>解释:</b><br>reboot 是最常用的重启命令,杭州培训::凝思::系统信息
查看所有网络连接（99系统常用）,<b>答案:</b><br>• <code>nmcli connection show</code><br>• <code>nmcli con show</code><br><br><b>解释:</b><br>nmcli 是凝思99系统的网络管理命令,杭州培训::凝思::网络管理
查看所有网卡设备状态,<b>答案:</b><br>• <code>nmcli device status</code><br>• <code>nmcli dev status</code><br><br><b>解释:</b><br>nmcli device status 列出网卡及其状态,杭州培训::凝思::网络管理
查看网卡 IP、MAC 地址和状态,<b>答案:</b><br>• <code>ifconfig</code><br><br><b>解释:</b><br>ifconfig 显示网络接口配置,杭州培训::凝思::网络管理
网络 Bond 配置文件所在目录,<b>答案:</b><br>• <code>/etc/sysconfig/network-scripts/</code><br><br><b>解释:</b><br>Linux 网卡配置文件统一放在此目录，ifcfg-* 开头,杭州培训::凝思::网络管理
Bond 逻辑接口配置文件名（bond0）,<b>答案:</b><br>• <code>ifcfg-bond-bond0</code><br><br><b>解释:</b><br>命名规则：ifcfg-bond-<bond名>,杭州培训::凝思::网络管理
主备模式 Bond 的 BONDING_OPTS 中 mode 值,<b>答案:</b><br>• <code>mode=active-backup</code><br><br><b>解释:</b><br>active-backup 即 mode=1，一主一备，最常用,杭州培训::凝思::网络管理
从属网卡配置中指定归属 bond0 的字段,<b>答案:</b><br>• <code>MASTER=bond0</code><br><br><b>解释:</b><br>SLAVE=yes + MASTER=bond0 将网卡加入 bond,杭州培训::凝思::网络管理
修改网络配置后重启网络服务的命令,<b>答案:</b><br>• <code>systemctl restart network</code><br><br><b>解释:</b><br>network 服务重启后配置生效,杭州培训::凝思::网络管理
查看 bond0 当前主网卡和链路状态,<b>答案:</b><br>• <code>cat /proc/net/bonding/bond0</code><br><br><b>解释:</b><br>/proc/net/bonding/ 目录下每个 bond 一个文件,杭州培训::凝思::网络管理
用户账号基本信息（用户名/UID/家目录等）存储在,<b>答案:</b><br>• <code>/etc/passwd</code><br><br><b>解释:</b><br>/etc/passwd 每行一个用户，冒号分隔7个字段,杭州培训::凝思::用户管理
用户密码字符串和有效期存储在,<b>答案:</b><br>• <code>/etc/shadow</code><br><br><b>解释:</b><br>/etc/shadow 是密码影子文件，权限更严格,杭州培训::凝思::用户管理
创建用户 testuser，指定 UID 为 1001,<b>答案:</b><br>• <code>useradd -u 1001 testuser</code><br><br><b>解释:</b><br>useradd -u 指定 UID,杭州培训::凝思::用户管理
创建用户时指定宿主目录的选项<br><br><small style='color:#888'>提示: useradd 的一个选项</small>,<b>答案:</b><br>• <code>-d</code><br><br><b>解释:</b><br>useradd -d /home/xxx 指定宿主目录,杭州培训::凝思::用户管理
修改当前登录用户的密码（不指定用户名）,<b>答案:</b><br>• <code>passwd</code><br><br><b>解释:</b><br>passwd 不加用户名时修改当前用户密码,杭州培训::凝思::用户管理
锁定用户账户的 usermod 选项<br><br><small style='color:#888'>提示: 一个字母选项</small>,<b>答案:</b><br>• <code>-L</code><br>• <code>usermod -L</code><br><br><b>解释:</b><br>usermod -L 锁定，-U 解锁,杭州培训::凝思::用户管理
解锁用户账户的 usermod 选项<br><br><small style='color:#888'>提示: 一个字母选项</small>,<b>答案:</b><br>• <code>-U</code><br>• <code>usermod -U</code><br><br><b>解释:</b><br>usermod -U 解锁账户,杭州培训::凝思::用户管理
删除用户 tom 并同时删除其宿主目录,<b>答案:</b><br>• <code>userdel -r tom</code><br><br><b>解释:</b><br>-r 选项连宿主目录一并删除,杭州培训::凝思::用户管理
适用于凝思 60/80/99 系统的删除用户命令,<b>答案:</b><br>• <code>rmuser</code><br><br><b>解释:</b><br>rmuser 是凝思专属命令，userdel 只适用42/99,杭州培训::凝思::用户管理
查询用户 tom 的 UID 和 GID,<b>答案:</b><br>• <code>id tom</code><br><br><b>解释:</b><br>id 命令显示用户身份标识,杭州培训::凝思::用户管理
查询当前用户所属的组,<b>答案:</b><br>• <code>groups</code><br><br><b>解释:</b><br>groups 不加参数查询当前用户的组,杭州培训::凝思::用户管理
显示当前工作目录路径,<b>答案:</b><br>• <code>pwd</code><br><br><b>解释:</b><br>pwd = Print Working Directory,杭州培训::凝思::文件操作
切换到 /etc 目录,<b>答案:</b><br>• <code>cd /etc</code><br><br><b>解释:</b><br>cd = Change Directory,杭州培训::凝思::文件操作
以长格式显示当前目录所有文件（含隐藏文件）,<b>答案:</b><br>• <code>ls -la</code><br>• <code>ls -al</code><br><br><b>解释:</b><br>-l 长格式，-a 显示隐藏文件,杭州培训::凝思::文件操作
统计 /var/log 目录占用空间（人类可读格式）,<b>答案:</b><br>• <code>du -ah /var/log</code><br>• <code>du -h /var/log</code><br><br><b>解释:</b><br>du -ah 对每个文件都统计，-h 以 K/M/G 显示,杭州培训::凝思::文件操作
递归创建多级目录 /opt/a/b/c,<b>答案:</b><br>• <code>mkdir -p /opt/a/b/c</code><br><br><b>解释:</b><br>-p 表示递归创建，不存在的父目录会一并创建,杭州培训::凝思::文件操作
创建空文件 test.txt,<b>答案:</b><br>• <code>touch test.txt</code><br><br><b>解释:</b><br>touch 用于新建空文件或更新时间戳,杭州培训::凝思::文件操作
将 /etc/hosts 复制到 /tmp 并保留原文件属性,<b>答案:</b><br>• <code>cp -p /etc/hosts /tmp/</code><br><br><b>解释:</b><br>-p 保持源文件权限、时间戳等属性,杭州培训::凝思::文件操作
递归复制整个 /opt/app 目录到 /backup,<b>答案:</b><br>• <code>cp -r /opt/app /backup</code><br>• <code>cp -rp /opt/app /backup</code><br><br><b>解释:</b><br>-r 递归复制目录,杭州培训::凝思::文件操作
将 old.txt 重命名为 new.txt,<b>答案:</b><br>• <code>mv old.txt new.txt</code><br><br><b>解释:</b><br>mv 源目标相同路径时相当于改名,杭州培训::凝思::文件操作
强制递归删除 /tmp/test 目录（不提示确认）,<b>答案:</b><br>• <code>rm -rf /tmp/test</code><br><br><b>解释:</b><br>-r 递归，-f 强制不提示，危险命令！,杭州培训::凝思::文件操作
在 /var/log 下查找名为 syslog 的文件,<b>答案:</b><br>• <code>find /var/log -name syslog</code><br><br><b>解释:</b><br>find 路径 -name 文件名,杭州培训::凝思::文件操作
查找大于 100MB 的文件,<b>答案:</b><br>• <code>find / -size +100M</code><br><br><b>解释:</b><br>+100M 表示大于100M，-100M 表示小于,杭州培训::凝思::文件操作
显示文件全部内容<br><br><small style='color:#888'>提示: 一个命令名</small>,<b>答案:</b><br>• <code>cat</code><br><br><b>解释:</b><br>cat 将文件内容全部输出到终端,杭州培训::凝思::文件操作
查看文件最后 20 行,<b>答案:</b><br>• <code>tail -n 20</code><br>• <code>tail -20</code><br><br><b>解释:</b><br>tail -n 20 显示最后20行,杭州培训::凝思::文件操作
实时追踪日志文件新增内容<br><br><small style='color:#888'>提示: tail 加一个选项</small>,<b>答案:</b><br>• <code>tail -f</code><br><br><b>解释:</b><br>-f 是 follow 的缩写，实时跟踪文件变化,杭州培训::凝思::文件操作
查看文件前 10 行,<b>答案:</b><br>• <code>head</code><br>• <code>head -n 10</code><br>• <code>head -10</code><br><br><b>解释:</b><br>head 默认显示前10行,杭州培训::凝思::文件操作
SSH 远程非交互执行命令并输出到本地（以 top 快照为例）,"<b>答案:</b><br>• <code>ssh ks-sca01 ""top -b -n 1"" > top.txt</code><br><br><b>解释:</b><br>ssh host ""命令"" 在远程执行，> 重定向到本地文件",杭州培训::凝思::文件操作
将本地 top.txt 拷贝到远程主机桌面,<b>答案:</b><br>• <code>scp top.txt nusp@<IP>:/home/nusp/zhejiang/Desktop/</code><br><br><b>解释:</b><br>scp 本地文件 用户@主机:远程路径,杭州培训::凝思::文件操作
将远程主机上的 top.txt 拉取到本地当前目录,<b>答案:</b><br>• <code>scp nusp@<IP>:/home/nusp/top.txt .</code><br><br><b>解释:</b><br>scp 远程路径 本地路径，. 表示当前目录,杭州培训::凝思::文件操作
打包 cpu.txt 为 zhangsan.tar.gz,<b>答案:</b><br>• <code>tar -czf zhangsan.tar.gz cpu.txt</code><br><br><b>解释:</b><br>c=创建 z=gzip压缩 f=指定文件名；解压用 -xzf,杭州培训::凝思::文件操作
解压 zhangsan.tar.gz 到当前目录,<b>答案:</b><br>• <code>tar -xzf zhangsan.tar.gz</code><br><br><b>解释:</b><br>x=解包 z=gzip z f=指定文件,杭州培训::凝思::文件操作
r / w / x 对应的数字权限值分别是<br><br><small style='color:#888'>提示: 三个数字用空格分隔</small>,"<b>答案:</b><br>• <code>4 2 1</code><br>• <code>r=4 w=2 x=1</code><br><br><b>解释:</b><br>r=4, w=2, x=1，三者相加得到权限数字",杭州培训::凝思::权限管理
将 script.sh 权限设为 属主可读写执行、其他人只读（数字法）,<b>答案:</b><br>• <code>chmod 744 script.sh</code><br><br><b>解释:</b><br>属主7=4+2+1，组4，其他4,杭州培训::凝思::权限管理
给 script.sh 的属主增加执行权限（符号法）,<b>答案:</b><br>• <code>chmod u+x script.sh</code><br><br><b>解释:</b><br>u=属主，g=组，o=其他，a=所有,杭州培训::凝思::权限管理
递归修改 /opt/app 下所有文件权限为 644,<b>答案:</b><br>• <code>chmod -R 644 /opt/app</code><br><br><b>解释:</b><br>-R 递归修改，644=属主读写+其他只读,杭州培训::凝思::权限管理
将 file.txt 的属主改为 alice，属组改为 dev,<b>答案:</b><br>• <code>chown alice:dev file.txt</code><br><br><b>解释:</b><br>chown 用户:组 文件，冒号分隔,杭州培训::凝思::权限管理
递归修改 /var/www 目录归属为 www 用户,<b>答案:</b><br>• <code>chown -R www /var/www</code><br><br><b>解释:</b><br>-R 递归修改目录及其所有内容,杭州培训::凝思::权限管理
vi 中删除当前行<br><br><small style='color:#888'>提示: 两个相同字母</small>,<b>答案:</b><br>• <code>dd</code><br><br><b>解释:</b><br>dd 删除当前行，#dd 删除#行,杭州培训::凝思::vi编辑器
vi 中复制当前行<br><br><small style='color:#888'>提示: 两个相同字母</small>,<b>答案:</b><br>• <code>yy</code><br><br><b>解释:</b><br>yy 复制当前行，p 粘贴,杭州培训::凝思::vi编辑器
vi 中撤销上一步操作<br><br><small style='color:#888'>提示: 一个字母</small>,<b>答案:</b><br>• <code>u</code><br><br><b>解释:</b><br>u = undo，撤销；Ctrl+r 重做,杭州培训::凝思::vi编辑器
vi 中保存文件并退出<br><br><small style='color:#888'>提示: 末行模式命令</small>,<b>答案:</b><br>• <code>:wq</code><br>• <code>:wq!</code><br><br><b>解释:</b><br>:w 保存，:q 退出，:wq 一起,杭州培训::凝思::vi编辑器
vi 中强制退出不保存<br><br><small style='color:#888'>提示: 末行模式命令带感叹号</small>,<b>答案:</b><br>• <code>:q!</code><br><br><b>解释:</b><br>:q! 放弃修改强制退出,杭州培训::凝思::vi编辑器
vi 中从上而下搜索字符串 'error'<br><br><small style='color:#888'>提示: / 开头</small>,<b>答案:</b><br>• <code>/error</code><br><br><b>解释:</b><br>/word 向下搜，?word 向上搜，n 下一个,杭州培训::凝思::vi编辑器
vi 中从命令模式在当前行后插入（光标后）<br><br><small style='color:#888'>提示: 单个字母</small>,<b>答案:</b><br>• <code>a</code><br><br><b>解释:</b><br>a=光标后插入，i=光标前，o=下方新行,杭州培训::凝思::vi编辑器
vi 中删除光标处到行尾的所有字符<br><br><small style='color:#888'>提示: d+符号</small>,<b>答案:</b><br>• <code>d$</code><br><br><b>解释:</b><br>d$ 删到行尾，d^ 删到行首,杭州培训::凝思::vi编辑器
查看当前用户的定时任务列表,<b>答案:</b><br>• <code>crontab -l</code><br><br><b>解释:</b><br>crontab -l list，-e 编辑，-r 删除所有,杭州培训::凝思::定时任务
编辑当前用户的定时任务,<b>答案:</b><br>• <code>crontab -e</code><br><br><b>解释:</b><br>crontab -e 打开编辑器修改任务,杭州培训::凝思::定时任务
删除当前用户的所有定时任务,<b>答案:</b><br>• <code>crontab -r</code><br><br><b>解释:</b><br>crontab -r remove，谨慎使用,杭州培训::凝思::定时任务
crontab 格式中，5个字段依次代表什么（用/分隔）<br><br><small style='color:#888'>提示: 5个字段，用/分隔</small>,<b>答案:</b><br>• <code>分/时/日/月/周</code><br>• <code>分钟/小时/日/月/周</code><br><br><b>解释:</b><br>分(0-59) 时(0-23) 日(1-31) 月(1-12) 周(1-7),杭州培训::凝思::定时任务
每天凌晨2点执行 /backup.sh 的 crontab 写法,<b>答案:</b><br>• <code>0 2 * * * /backup.sh</code><br><br><b>解释:</b><br>分=0 时=2 日月周都是* 表示每天,杭州培训::凝思::定时任务
每小时的第15分钟执行 /check.sh,<b>答案:</b><br>• <code>15 * * * * /check.sh</code><br><br><b>解释:</b><br>分=15，其余*表示每小时都执行,杭州培训::凝思::定时任务
每分钟记录内存到文件（追加）,<b>答案:</b><br>• <code>* * * * * free >> /path/to/file.txt</code><br><br><b>解释:</b><br>5个*=每分钟，free输出内存，>>追加不覆盖,杭州培训::凝思::定时任务
系统主日志文件路径（凝思系统）,<b>答案:</b><br>• <code>/var/log/syslog</code><br>• <code>/var/log/messages</code><br><br><b>解释:</b><br>不同发行版可能用 syslog 或 messages,杭州培训::凝思::日志路径
内核和驱动相关日志路径,<b>答案:</b><br>• <code>/var/log/kern.log</code><br><br><b>解释:</b><br>kern.log 记录内核活动和硬件问题,杭州培训::凝思::日志路径
系统审计日志（记录用户操作）路径,<b>答案:</b><br>• <code>/var/log/audit.log</code><br><br><b>解释:</b><br>audit.log 用于安全审计和合规检查,杭州培训::凝思::日志路径
凝思系统日志统一存放在哪个目录,<b>答案:</b><br>• <code>/var/log/</code><br><br><b>解释:</b><br>/var/log/ 是 Linux 标准日志目录,杭州培训::凝思::日志路径
